heff,s
2.8861892583120205e-06,0.949
2.768141829421902e-06,0.95
2.653997622960786e-06,0.951
2.5402886091014438e-06,0.952
2.4293124366270657e-06,0.953
2.3289121927154523e-06,0.954
2.232389048475365e-06,0.955
2.1362326103593888e-06,0.956
2.04160264904514e-06,0.957
1.9561794154610917e-06,0.958
1.8751518463942156e-06,0.959
1.794429885897185e-06,0.96
1.7144759042750696e-06,0.961
1.640674070354557e-06,0.962
1.5702077340145998e-06,0.963
1.5000062168771957e-06,0.964
1.4304741212251968e-06,0.965
1.3688750372783428e-06,0.966
1.3108963355545266e-06,0.967
1.2531341951895515e-06,0.968
1.1958288806530092e-06,0.969
1.1435988842135124e-06,0.97
1.0942769586214642e-06,0.971
1.045141672373628e-06,0.972
9.965597354597344e-07,0.973
9.529718138692467e-07,0.974
9.117341538576821e-07,0.975
8.706493285516086e-07,0.976
8.301998417390786e-07,0.977
7.93722087533495e-07,0.978
7.589092798781808e-07,0.979
7.242265601947819e-07,0.98
6.925200857609899e-07,0.981
6.698854843987747e-07,0.982
6.482644940741185e-07,0.983
6.267231391791408e-07,0.984
5.997572326916836e-07,0.985
5.66589993669202e-07,0.986
5.340932589342543e-07,0.987
5.017172019097084e-07,0.988
4.748423403696243e-07,0.989
4.5375912049803477e-07,0.99
4.3289235193914853e-07,0.991
4.1210193336605663e-07,0.992
3.9286854714771764e-07,0.993
3.7541411568392246e-07,0.994
3.5802366990969273e-07,0.995
3.4070460372682213e-07,0.996
3.2507631872280755e-07,0.997
3.102958277254374e-07,0.998
2.955695210561716e-07,0.999
2.8110376578388653e-07,1.0
